generic_name,mechanism_of_action,mechanism_source,mechanism_source_tier,mechanism_confidence,data_most_recently_refreshed
acetazolamide,"Carbonic anhydrase inhibitor; antiseizure effect is attributed to carbonic-anhydrase inhibition with brain/tissue acidosis and reduced neuronal excitability, but the clinical antiseizure mechanism is not fully established.",Sills and Rogawski 2020 ASM mechanism review,Peer-reviewed review,Moderate,05-15-2026
adrenocorticotropic hormone,"Mechanism for infantile spasms is unknown; ACTH stimulates adrenal cortisol, corticosterone, aldosterone, and weak androgen secretion and is reported to bind melanocortin receptors.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
barbexaclone,"Phenobarbital/propylhexedrine salt; antiseizure effect is attributed to the phenobarbital moiety, which potentiates GABA-A receptor-mediated inhibition.",NCBI PubChem pharmacology records; Sills and Rogawski 2020 ASM mechanism review,NCBI/PubChem,Moderate,05-15-2026
beclamide,Older anticonvulsant with no well-established antiseizure mechanism; limited data suggest CNS monoamine effects rather than a defined modern ASM target.,NCBI PubChem pharmacology records,Historical/limited,Limited,05-15-2026
brivaracetam,"Precise anticonvulsant mechanism is unknown; brivaracetam binds selectively and with high affinity to synaptic vesicle protein 2A (SV2A), which may contribute to the anticonvulsant effect.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
cannabidiol,"Precise human anticonvulsant mechanisms are unknown; effects do not appear to be mediated by CB1/CB2 cannabinoid receptors, with GPR55, TRPV1, and adenosine-mediated signaling proposed.",FDA/DailyMed labeling; American Epilepsy Society 2024 U.S. ASM summary,FDA/AES summary,Limited,05-15-2026
carbamazepine,"Antiseizure mechanism is not fully established in labeling; accepted primary proposed effect is use-dependent voltage-gated sodium-channel blockade, reducing repetitive firing and seizure spread.",FDA/DailyMed labeling; Sills and Rogawski 2020 ASM mechanism review,FDA label,Moderate,05-15-2026
cenobamate,Precise therapeutic mechanism is unknown; cenobamate reduces repetitive neuronal firing by inhibiting voltage-gated sodium currents and positively modulates GABA-A ion channels.,FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
clobazam,"Exact mechanism is not fully understood; 1,5-benzodiazepine positive allosteric modulation of GABA-A receptors potentiates GABAergic neurotransmission.",FDA/DailyMed labeling,FDA label,High,05-15-2026
clonazepam,Benzodiazepine positive allosteric modulator of GABA-A receptors; enhances GABAergic inhibition by binding at the benzodiazepine site.,American Epilepsy Society 2024 U.S. ASM summary; Sills and Rogawski 2020 ASM mechanism review,AES/FDA summary,High,05-15-2026
clorazepate,Benzodiazepine prodrug to nordiazepam; positive allosteric modulation of GABA-A receptors enhances GABAergic inhibition.,Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Peer-reviewed review,High,05-15-2026
diazepam,Precise antiseizure mechanism is unknown; diazepam enhances GABA-A receptor-mediated chloride-channel inhibition by increasing GABA effects at the receptor.,FDA/DailyMed labeling,FDA label,High,05-15-2026
divalproex sodium,"Dissociates to valproate; mechanisms are not established, but labeling suggests antiseizure activity may relate to increased brain GABA concentrations. Additional ion-channel effects are proposed but not definitive.",FDA/DailyMed labeling; Sills and Rogawski 2020 ASM mechanism review,FDA label,Moderate,05-15-2026
eslicarbazepine acetate,Converted to eslicarbazepine; precise mechanism is unknown but is thought to involve inhibition of voltage-gated sodium channels.,FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
ethadione,"Oxazolidinedione-class antiseizure drug; exact drug-specific mechanism is not established, with the class proposed to reduce low-threshold T-type calcium currents in thalamic neurons.",NCBI Bookshelf AED mechanism table; Sills and Rogawski 2020 ASM mechanism review,Historical/limited,Limited,05-15-2026
ethosuximide,"Reduces low-threshold T-type calcium currents in thalamic neurons, the established anti-absence succinimide mechanism.",American Epilepsy Society 2024 U.S. ASM summary; NCBI Bookshelf AED mechanism table; Sills and Rogawski 2020 ASM mechanism review,AES/FDA summary,High,05-15-2026
ethotoin,"Hydantoin-class antiseizure drug; exact ethotoin-specific mechanism is not well defined, but the class is proposed to reduce high-frequency firing via voltage-gated sodium-channel effects.",NCBI Bookshelf AED mechanism table; Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Historical/limited,Limited,05-15-2026
etiracetam,"Racetam development compound related to levetiracetam; exact antiseizure mechanism is not established, though levetiracetam-related analogs act through SV2A-associated mechanisms.",NCBI PubChem pharmacology records,NCBI/PubChem,Limited,05-15-2026
everolimus,"Binds FKBP-12 to inhibit mTOR complex 1 (mTORC1), targeting dysregulated mTOR signaling in tuberous sclerosis complex.",FDA/DailyMed labeling,FDA label,High,05-15-2026
ezogabine,"Neuronal potassium-channel opener; primarily activates Kv7/KCNQ channels, stabilizing resting membrane potential and reducing neuronal excitability.",EMA Trobalt withdrawal page; Sills and Rogawski 2020 ASM mechanism review,EMA/UK SmPC,High,05-15-2026
felbamate,Anticonvulsant mechanism is unknown in labeling; proposed mechanisms include reduced seizure spread with NMDA receptor inhibition and GABA-A receptor modulation.,FDA/DailyMed labeling; Sills and Rogawski 2020 ASM mechanism review,FDA label,Moderate,05-15-2026
fenfluramine,"Precise seizure mechanism is unknown; fenfluramine and norfenfluramine exhibit serotonin 5-HT2 receptor agonist activity, with sigma-1 modulation also proposed.",FDA/DailyMed labeling; American Epilepsy Society 2024 U.S. ASM summary,FDA label,Moderate,05-15-2026
fosphenytoin,"Phenytoin prodrug; anticonvulsant effects are attributable to phenytoin, whose mechanism is not established but is thought to involve voltage-dependent sodium-channel blockade.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
gabapentin,"Precise antiepileptic mechanism is unknown; gabapentin binds the alpha-2-delta subunit of voltage-activated calcium channels, but the relationship of this binding to efficacy is not fully established.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
ganaxolone,Precise therapeutic mechanism is unknown; anticonvulsant effects are thought to result from positive allosteric modulation of CNS GABA-A receptors.,FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
lacosamide,Human antiseizure mechanism remains incompletely elucidated; lacosamide selectively enhances slow inactivation of voltage-gated sodium channels and stabilizes hyperexcitable neuronal membranes.,FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
lamotrigine,Precise anticonvulsant mechanism is unknown; a proposed mechanism is inhibition of voltage-sensitive sodium channels with reduced glutamate and aspartate release.,FDA/DailyMed labeling; Sills and Rogawski 2020 ASM mechanism review,FDA label,Moderate,05-15-2026
levetiracetam,"Precise antiepileptic mechanism is unknown; levetiracetam binds synaptic vesicle protein 2A (SV2A), and this interaction may contribute to antiseizure activity.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
lorazepam,Benzodiazepine positive allosteric modulator of GABA-A receptors; enhances GABAergic inhibition and is used acutely for seizure termination.,American Epilepsy Society 2024 U.S. ASM summary; Sills and Rogawski 2020 ASM mechanism review,AES/FDA summary,High,05-15-2026
mephenytoin,"Hydantoin-class antiseizure drug; exact drug-specific mechanism is limited, but hydantoins are proposed to reduce high-frequency neuronal firing through voltage-gated sodium-channel effects.",NCBI Bookshelf AED mechanism table; Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Historical/limited,Limited,05-15-2026
mephobarbital,Barbiturate related to phenobarbital and partly metabolized to phenobarbital; antiseizure effect is attributed to GABA-A receptor-mediated inhibitory potentiation.,Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Historical/limited,Moderate,05-15-2026
methazolamide,"Potent carbonic anhydrase inhibitor; DailyMed labeling states that although methazolamide reaches high cerebrospinal-fluid concentrations, it is not considered an effective anticonvulsant.",FDA/DailyMed labeling; NCBI PubChem pharmacology records,FDA label,Limited,05-15-2026
methsuximide,"Succinimide-class antiseizure drug; exact mechanism is not fully established, but succinimides are associated with reduced low-threshold T-type calcium currents; active metabolite contributes.",NCBI Bookshelf AED mechanism table; Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Historical/limited,Moderate,05-15-2026
midazolam,Benzodiazepine positive allosteric modulator of GABA-A receptors; enhances GABAergic inhibition by binding at the benzodiazepine site.,American Epilepsy Society 2024 U.S. ASM summary; FDA/DailyMed labeling,AES/FDA summary,High,05-15-2026
mirogabalin,Gabapentinoid that binds alpha-2-delta subunits of voltage-gated calcium channels; it is not established or approved as an antiseizure medication.,NCBI PubChem pharmacology records; Sills and Rogawski 2020 ASM mechanism review,NCBI/PubChem,Moderate,05-15-2026
nitrazepam,Benzodiazepine positive allosteric modulator of GABA-A receptors; enhances GABAergic inhibition.,Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Peer-reviewed review,High,05-15-2026
oxcarbazepine,"Precise mechanism is unknown; active MHD metabolite blocks voltage-sensitive sodium channels, stabilizes hyperexcited neural membranes, and may also increase potassium conductance and modulate high-voltage calcium channels.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
paraldehyde,Historical CNS depressant used for convulsions/status epilepticus; exact anticonvulsant mechanism is not well established and is best treated as limited/unknown rather than a defined modern ASM target.,NCBI PubChem pharmacology records,Historical/limited,Limited,05-15-2026
paramethadione,"Oxazolidinedione-class antiseizure drug; exact mechanism is not established, with the class proposed to reduce low-threshold T-type calcium currents in thalamic neurons.",NCBI Bookshelf AED mechanism table; Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Historical/limited,Limited,05-15-2026
perampanel,Noncompetitive antagonist of ionotropic AMPA glutamate receptors on postsynaptic neurons; precise human antiepileptic mechanism is still described as unknown in labeling.,FDA/DailyMed labeling,FDA label,High,05-15-2026
phenacemide,"Ureide anticonvulsant; mechanism in humans has not been established. Older records describe raised seizure threshold and reduced spread of seizure discharge, with sodium/calcium-channel blockade proposed.",NCBI PubChem pharmacology records,Historical/limited,Limited,05-15-2026
pheneturide,Older ureide anticonvulsant structurally related to phenacemide; exact antiseizure mechanism is not established.,NCBI PubChem pharmacology records,Historical/limited,Limited,05-15-2026
phenobarbital,Mechanism is not fully understood; barbiturate potentiation of synaptic inhibition through GABA-A receptors is the principal accepted antiseizure mechanism.,FDA/DailyMed labeling; American Epilepsy Society 2024 U.S. ASM summary; Sills and Rogawski 2020 ASM mechanism review,FDA label,High,05-15-2026
phensuximide,"Succinimide-class antiseizure drug; exact mechanism is not fully established, but the class is associated with reduced low-threshold T-type calcium currents.",NCBI Bookshelf AED mechanism table; Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Historical/limited,Moderate,05-15-2026
phenytoin,"Precise mechanism is not established in labeling; thought to involve voltage-dependent blockade of membrane sodium channels, reducing sustained high-frequency neuronal discharges.",FDA/DailyMed labeling; Sills and Rogawski 2020 ASM mechanism review,FDA label,Moderate,05-15-2026
piracetam,Mode of action in cortical myoclonus is unknown; do not classify as a direct GABAergic ASM despite being a cyclic GABA derivative.,UK eMC SmPC labeling,EMA/UK SmPC,Limited,05-15-2026
potassium bromide,"Bromide-ion antiseizure mechanism is not defined by modern labeling; proposed effect is increased inhibitory hyperpolarizing tone through bromide/chloride conductance, with evidence largely historical/veterinary.",NCBI PubChem pharmacology records; NCBI Bookshelf AED mechanism table,Historical/limited,Limited,05-15-2026
pregabalin,"Mechanism is not fully elucidated; pregabalin binds alpha-2-delta subunits of voltage-gated calcium channels, which may be involved in anti-seizure effects.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
primidone,"Mechanism is not fully established; antiseizure activity reflects parent primidone plus phenobarbital/PEMA metabolites, with barbiturate-related GABA-A potentiation contributing.",American Epilepsy Society 2024 U.S. ASM summary; Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,AES/FDA summary,Moderate,05-15-2026
progabide,"GABA analog/prodrug with agonist activity at GABA-A and GABA-B receptors, enhancing inhibitory GABAergic signaling.",NCBI PubChem pharmacology records,NCBI/PubChem,High,05-15-2026
pyridoxine,"Vitamin B6 precursor/cofactor support; in pyridoxine-dependent epilepsies, treatment restores pyridoxal-phosphate-dependent neurotransmitter metabolism, including GABA synthesis.",NCBI PubChem pharmacology records,NCBI/PubChem,High,05-15-2026
rufinamide,"Precise mechanism is unknown; in vitro studies suggest sodium-channel modulation, especially prolongation of the inactive state and limitation of repetitive sodium-dependent firing.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
seletracetam,"Investigational levetiracetam-related racetam; proposed mechanism is SV2A modulation with possible reduction of calcium-dependent neurotransmitter release, but it is not an approved ASM.",NCBI PubChem pharmacology records,NCBI/PubChem,Moderate,05-15-2026
sodium valproate,"Valproate ion; mechanisms are not established, but labeling suggests antiseizure activity may relate to increased brain GABA concentrations. Additional ion-channel effects are proposed but not definitive.",FDA/DailyMed labeling; Sills and Rogawski 2020 ASM mechanism review,FDA label,Moderate,05-15-2026
stiripentol,Human anticonvulsant mechanism is unknown; possible mechanisms include direct GABA-A receptor effects and indirect CYP inhibition that increases clobazam and norclobazam exposure.,FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
sultiame,"Carbonic anhydrase inhibitor with documented anticonvulsant effect; sodium-current reduction has also been reported, but the relative clinical contribution is not fully defined.",UK eMC SmPC labeling; Sulthiame sodium-current mechanism study,EMA/UK SmPC,Moderate,05-15-2026
temazepam,Benzodiazepine positive allosteric modulator of GABA-A receptors; not a standard contemporary epilepsy ASM.,Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Peer-reviewed review,Moderate,05-15-2026
tiagabine,"Precise antiseizure mechanism is unknown, but tiagabine blocks GABA uptake by the GAT-1 GABA transporter, increasing synaptic GABA availability.",FDA/DailyMed labeling,FDA label,High,05-15-2026
topiramate,"Precise anticonvulsant mechanism is unknown; preclinical effects include voltage-dependent sodium-channel blockade, GABA-A augmentation, AMPA/kainate antagonism, and carbonic-anhydrase inhibition.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
trimethadione,Oxazolidinedione anti-absence drug; proposed mechanism is reduction of low-threshold T-type calcium currents in thalamic neurons.,NCBI Bookshelf AED mechanism table; Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Historical/limited,Moderate,05-15-2026
valnoctamide,"Valproate-related amide; precise antiseizure mechanism is not established. Preclinical work suggests enhancement of GABA-A-mediated phasic inhibition, but clinical MOA evidence is limited.",PMC valnoctamide GABA-A mechanism study; NCBI PubChem pharmacology records,Historical/limited,Limited,05-15-2026
valproic acid,"Dissociates to valproate; mechanisms are not established, but labeling suggests antiseizure activity may relate to increased brain GABA concentrations. Additional ion-channel effects are proposed but not definitive.",FDA/DailyMed labeling; Sills and Rogawski 2020 ASM mechanism review,FDA label,Moderate,05-15-2026
valpromide,"Valproate-related amide; precise antiseizure mechanism is not established, with valproate-like effects on GABAergic and ion-channel systems proposed but not definitive.",NCBI PubChem pharmacology records; Sills and Rogawski 2020 ASM mechanism review,Historical/limited,Limited,05-15-2026
vigabatrin,"Precise anti-seizure mechanism is unknown, but effect is believed to result from irreversible inhibition of GABA transaminase, increasing CNS GABA levels.",FDA/DailyMed labeling,FDA label,High,05-15-2026
zonisamide,"Precise mechanism is unknown; in vitro data suggest sodium-channel blockade and reduced T-type calcium currents, with weak carbonic-anhydrase inhibition of uncertain therapeutic contribution.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
